Group	Bin
WIS	92
WIS	5
WIS	101
WIS	101
WIS	62
WIS	124
WIS	26
WIS	62
WIS	123
WIS	69
WIS	0
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	30
WIS	119
WIS	0
WIS	62
WIS	62
WIS	123
WIS	62
WIS	62
WIS	62
WIS	16
WIS	62
WIS	62
WIS	62
WIS	62
WIS	64
WIS	62
WIS	105
WIS	62
WIS	62
WIS	62
WIS	62
WIS	35
WIS	5
WIS	62
WIS	62
WIS	62
WIS	110
WIS	62
WIS	124
WIS	120
WIS	61
WIS	62
WIS	62
WIS	7
WIS	64
WIS	40
WIS	62
WIS	62
WIS	120
WIS	62
WIS	62
WIS	62
WIS	62
WIS	35
WIS	62
WIS	62
WIS	62
WIS	62
WIS	64
WIS	58
WIS	0
WIS	1
WIS	62
WIS	116
WIS	62
WIS	63
WIS	61
WIS	62
WIS	62
WIS	62
WIS	62
WIS	59
WIS	62
WIS	90
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	67
WIS	61
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	64
WIS	60
WIS	90
WIS	62
WIS	62
WIS	62
WIS	100
WIS	63
WIS	57
WIS	67
WIS	62
WIS	106
WIS	62
WIS	62
WIS	62
WIS	62
WIS	10
WIS	62
WIS	111
WIS	62
WIS	62
WIS	62
WIS	62
WIS	0
WIS	100
WIS	58
WIS	120
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	59
WIS	23
WIS	62
WIS	10
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	17
WIS	96
WIS	62
WIS	62
WIS	124
WIS	124
WIS	2
WIS	62
WIS	62
WIS	108
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	1
WIS	62
WIS	62
WIS	15
WIS	62
WIS	62
WIS	75
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	75
WIS	89
WIS	23
WIS	62
WIS	62
WIS	62
WIS	81
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	88
WIS	62
WIS	61
WIS	107
WIS	61
WIS	41
WIS	42
WIS	62
WIS	62
WIS	123
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	45
WIS	62
WIS	62
WIS	124
WIS	13
WIS	62
WIS	62
WIS	21
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	108
WIS	29
WIS	62
WIS	62
WIS	62
WIS	62
WIS	123
WIS	62
WIS	62
WIS	107
WIS	61
WIS	49
WIS	64
WIS	44
WIS	91
WIS	62
WIS	47
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	23
WIS	62
WIS	56
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	62
WIS	0
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	123
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	10
WIS	104
WIS	62
WIS	40
WIS	62
WIS	38
WIS	62
WIS	62
WIS	97
WIS	56
WIS	62
WIS	62
WIS	62
WIS	96
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	99
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	0
WIS	62
WIS	62
WIS	62
WIS	34
WIS	62
WIS	62
WIS	88
WIS	62
WIS	62
WIS	66
WIS	17
WIS	104
WIS	62
WIS	62
WIS	62
WIS	57
WIS	11
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	102
WIS	74
WIS	93
WIS	3
WIS	62
WIS	62
WIS	61
WIS	62
WIS	62
WIS	124
WIS	107
WIS	116
WIS	62
WIS	27
WIS	62
WIS	3
WIS	62
WIS	8
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	47
WIS	62
WIS	62
WIS	104
WIS	1
WIS	62
WIS	0
WIS	62
WIS	62
WIS	2
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	61
WIS	62
WIS	112
WIS	62
WIS	36
WIS	62
WIS	65
WIS	53
WIS	72
WIS	62
WIS	64
WIS	124
WIS	62
WIS	62
WIS	4
WIS	93
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	0
WIS	11
WIS	112
WIS	63
WIS	120
WIS	62
WIS	120
WIS	62
WIS	62
WIS	86
WIS	104
WIS	73
WIS	61
WIS	10
WIS	63
WIS	72
WIS	0
WIS	66
WIS	61
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	0
WIS	9
WIS	63
WIS	62
WIS	111
WIS	119
WIS	17
WIS	1
WIS	64
WIS	61
WIS	62
WIS	13
WIS	34
WIS	62
WIS	62
WIS	103
WIS	8
WIS	32
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	26
WIS	0
WIS	62
WIS	2
WIS	62
WIS	67
WIS	79
WIS	124
WIS	60
WIS	51
WIS	62
WIS	62
WIS	31
WIS	62
WIS	62
WIS	62
WIS	124
WIS	102
WIS	62
WIS	62
WIS	62
WIS	0
WIS	52
WIS	62
WIS	62
WIS	62
WIS	62
WIS	0
WIS	62
WIS	84
WIS	62
WIS	0
WIS	8
WIS	7
WIS	62
WIS	62
WIS	49
WIS	1
WIS	61
WIS	62
WIS	62
WIS	63
WIS	6
WIS	62
WIS	62
WIS	49
WIS	7
WIS	62
WIS	62
WIS	102
WIS	62
WIS	102
WIS	62
WIS	124
WIS	62
WIS	5
WIS	62
WIS	62
WIS	62
WIS	103
WIS	65
WIS	55
WIS	62
WIS	54
WIS	45
WIS	62
WIS	14
WIS	66
WIS	72
WIS	104
WIS	124
WIS	62
WIS	124
WIS	6
WIS	62
WIS	62
WIS	62
WIS	62
WIS	108
WIS	0
WIS	104
WIS	62
WIS	14
WIS	70
WIS	61
WIS	62
WIS	62
WIS	59
WIS	62
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	123
WIS	62
WIS	62
WIS	14
WIS	62
WIS	56
WIS	62
WIS	62
WIS	100
WIS	16
WIS	124
WIS	62
WIS	21
WIS	2
WIS	99
WIS	99
WIS	62
WIS	85
WIS	18
WIS	62
WIS	70
WIS	101
WIS	62
WIS	10
WIS	62
WIS	62
WIS	26
WIS	122
WIS	22
WIS	62
WIS	62
WIS	62
WIS	62
WIS	24
WIS	62
WIS	62
WIS	116
WIS	62
WIS	36
WIS	62
WIS	62
WIS	62
WIS	62
WIS	82
WIS	62
WIS	62
WIS	62
WIS	33
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	124
WIS	62
WIS	62
WIS	100
WIS	109
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	30
WIS	18
WIS	0
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	104
WIS	67
WIS	39
WIS	28
WIS	62
WIS	107
WIS	62
WIS	44
WIS	62
WIS	62
WIS	62
WIS	7
WIS	60
WIS	62
WIS	37
WIS	62
WIS	39
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	97
WIS	62
WIS	31
WIS	62
WIS	122
WIS	62
WIS	62
WIS	21
WIS	62
WIS	27
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	97
WIS	9
WIS	111
WIS	62
WIS	1
WIS	62
WIS	62
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	66
WIS	6
WIS	61
WIS	62
WIS	62
WIS	122
WIS	62
WIS	64
WIS	56
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	108
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	11
WIS	62
WIS	62
WIS	24
WIS	62
WIS	62
WIS	62
WIS	110
WIS	62
WIS	62
WIS	62
WIS	64
WIS	5
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	30
WIS	62
WIS	62
WIS	98
WIS	83
WIS	112
WIS	62
WIS	122
WIS	65
WIS	1
WIS	62
WIS	62
WIS	17
WIS	72
WIS	23
WIS	113
WIS	62
WIS	0
WIS	62
WIS	62
WIS	62
WIS	63
WIS	61
WIS	62
WIS	62
WIS	30
WIS	62
WIS	62
WIS	55
WIS	62
WIS	124
WIS	25
WIS	9
WIS	123
WIS	62
WIS	62
WIS	82
WIS	62
WIS	62
WIS	62
WIS	28
WIS	62
WIS	62
WIS	62
WIS	107
WIS	62
WIS	62
WIS	63
WIS	104
WIS	46
WIS	41
WIS	62
WIS	11
WIS	62
WIS	113
WIS	62
WIS	26
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	79
WIS	20
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	73
WIS	58
WIS	62
WIS	39
WIS	62
WIS	124
WIS	62
WIS	23
WIS	0
WIS	62
WIS	4
WIS	122
WIS	0
WIS	104
WIS	62
WIS	22
WIS	62
WIS	60
WIS	62
WIS	62
WIS	124
WIS	62
WIS	0
WIS	24
WIS	0
WIS	123
WIS	62
WIS	62
WIS	99
WIS	57
WIS	62
WIS	19
WIS	48
WIS	62
WIS	75
WIS	62
WIS	62
WIS	106
WIS	62
WIS	92
WIS	103
WIS	49
WIS	62
WIS	10
WIS	63
WIS	61
WIS	49
WIS	62
WIS	120
WIS	30
WIS	79
WIS	62
WIS	18
WIS	24
WIS	62
WIS	85
WIS	62
WIS	107
WIS	62
WIS	62
WIS	62
WIS	62
WIS	122
WIS	2
WIS	62
WIS	62
WIS	38
WIS	62
WIS	124
WIS	77
WIS	62
WIS	0
WIS	62
WIS	62
WIS	100
WIS	36
WIS	62
WIS	40
WIS	62
WIS	1
WIS	86
WIS	106
WIS	62
WIS	21
WIS	113
WIS	11
WIS	62
WIS	62
WIS	62
WIS	24
WIS	62
WIS	7
WIS	62
WIS	16
WIS	92
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	28
WIS	62
WIS	62
WIS	62
WIS	10
WIS	62
WIS	54
WIS	62
WIS	62
WIS	62
WIS	109
WIS	62
WIS	61
WIS	124
WIS	62
WIS	62
WIS	62
WIS	21
WIS	62
WIS	16
WIS	18
WIS	62
WIS	0
WIS	62
WIS	8
WIS	62
WIS	62
WIS	59
WIS	21
WIS	62
WIS	0
WIS	62
WIS	93
WIS	62
WIS	0
WIS	62
WIS	94
WIS	62
WIS	62
WIS	124
WIS	62
WIS	6
WIS	62
WIS	29
WIS	15
WIS	124
WIS	62
WIS	13
WIS	86
WIS	62
WIS	63
WIS	61
WIS	67
WIS	61
WIS	62
WIS	124
WIS	62
WIS	62
WIS	62
WIS	62
WIS	26
WIS	68
WIS	84
WIS	60
WIS	62
WIS	27
WIS	62
WIS	108
WIS	103
WIS	62
WIS	62
WIS	62
WIS	62
WIS	4
WIS	62
WIS	48
WIS	2
WIS	62
WIS	62
WIS	62
WIS	13
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	122
WIS	93
WIS	6
WIS	62
WIS	62
WIS	17
WIS	62
WIS	62
WIS	62
WIS	50
WIS	12
WIS	50
WIS	62
WIS	3
WIS	63
WIS	22
WIS	0
WIS	13
WIS	62
WIS	123
WIS	62
WIS	62
WIS	62
WIS	62
WIS	124
WIS	62
WIS	65
WIS	47
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	90
WIS	62
WIS	112
WIS	77
WIS	33
WIS	62
WIS	105
WIS	62
WIS	62
WIS	67
WIS	65
WIS	18
WIS	110
WIS	57
WIS	62
WIS	52
WIS	62
WIS	62
WIS	62
WIS	120
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	38
WIS	62
WIS	62
WIS	23
WIS	62
WIS	124
WIS	62
WIS	119
WIS	58
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	67
WIS	8
WIS	102
WIS	67
WIS	47
WIS	62
WIS	114
WIS	64
WIS	6
WIS	62
WIS	62
WIS	98
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	43
WIS	55
WIS	62
WIS	83
WIS	62
WIS	62
WIS	1
WIS	62
WIS	69
WIS	3
WIS	62
WIS	62
WIS	62
WIS	62
WIS	13
WIS	62
WIS	62
WIS	64
WIS	54
WIS	61
WIS	62
WIS	62
WIS	62
WIS	15
WIS	84
WIS	83
WIS	62
WIS	62
WIS	68
WIS	64
WIS	62
WIS	62
WIS	62
WIS	106
WIS	62
WIS	62
WIS	62
WIS	62
WIS	30
WIS	1
WIS	91
WIS	114
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	109
WIS	64
WIS	62
WIS	94
WIS	62
WIS	62
WIS	115
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	2
WIS	62
WIS	83
WIS	62
WIS	62
WIS	117
WIS	108
WIS	62
WIS	30
WIS	62
WIS	110
WIS	30
WIS	90
WIS	70
WIS	0
WIS	62
WIS	62
WIS	104
WIS	62
WIS	91
WIS	27
WIS	102
WIS	33
WIS	62
WIS	62
WIS	120
WIS	62
WIS	62
WIS	21
WIS	62
WIS	0
WIS	62
WIS	119
WIS	72
WIS	60
WIS	62
WIS	105
WIS	63
WIS	62
WIS	62
WIS	115
WIS	62
WIS	81
WIS	62
WIS	111
WIS	62
WIS	62
WIS	64
WIS	11
WIS	62
WIS	92
WIS	47
WIS	31
WIS	102
WIS	17
WIS	105
WIS	101
WIS	87
WIS	10
WIS	62
WIS	62
WIS	62
WIS	59
WIS	62
WIS	54
WIS	62
WIS	36
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	121
WIS	62
WIS	62
WIS	17
WIS	62
WIS	62
WIS	62
WIS	107
WIS	103
WIS	62
WIS	9
WIS	62
WIS	0
WIS	27
WIS	62
WIS	62
WIS	121
WIS	62
WIS	62
WIS	62
WIS	62
WIS	68
WIS	62
WIS	62
WIS	62
WIS	62
WIS	14
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	105
WIS	62
WIS	62
WIS	83
WIS	62
WIS	119
WIS	63
WIS	18
WIS	61
WIS	62
WIS	48
WIS	47
WIS	67
WIS	61
WIS	83
WIS	62
WIS	110
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	77
WIS	62
WIS	101
WIS	120
WIS	62
WIS	62
WIS	124
WIS	92
WIS	62
WIS	62
WIS	35
WIS	62
WIS	64
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	1
WIS	63
WIS	60
WIS	15
WIS	62
WIS	65
WIS	2
WIS	108
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	54
WIS	62
WIS	62
WIS	62
WIS	38
WIS	73
WIS	124
WIS	62
WIS	62
WIS	62
WIS	122
WIS	18
WIS	62
WIS	117
WIS	62
WIS	84
WIS	18
WIS	62
WIS	37
WIS	54
WIS	62
WIS	0
WIS	97
WIS	62
WIS	62
WIS	21
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	114
WIS	62
WIS	123
WIS	62
WIS	0
WIS	7
WIS	100
WIS	62
WIS	62
WIS	29
WIS	83
WIS	2
WIS	62
WIS	86
WIS	62
WIS	62
WIS	6
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	4
WIS	62
WIS	74
WIS	42
WIS	62
WIS	62
WIS	124
WIS	62
WIS	87
WIS	1
WIS	62
WIS	62
WIS	62
WIS	62
WIS	122
WIS	63
WIS	61
WIS	62
WIS	62
WIS	124
WIS	94
WIS	111
WIS	60
WIS	62
WIS	62
WIS	83
WIS	95
WIS	62
WIS	62
WIS	62
WIS	5
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	121
WIS	62
WIS	1
WIS	31
WIS	15
WIS	87
WIS	62
WIS	62
WIS	62
WIS	12
WIS	124
WIS	62
WIS	79
WIS	62
WIS	62
WIS	62
WIS	62
WIS	80
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	40
WIS	115
WIS	62
WIS	60
WIS	62
WIS	62
WIS	99
WIS	75
WIS	62
WIS	62
WIS	114
WIS	62
WIS	62
WIS	87
WIS	124
WIS	62
WIS	83
WIS	62
WIS	14
WIS	62
WIS	62
WIS	17
WIS	63
WIS	96
WIS	4
WIS	121
WIS	62
WIS	62
WIS	9
WIS	62
WIS	121
WIS	115
WIS	14
WIS	39
WIS	123
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	34
WIS	62
WIS	123
WIS	62
WIS	124
WIS	106
WIS	62
WIS	62
WIS	62
WIS	62
WIS	114
WIS	62
WIS	62
WIS	62
WIS	11
WIS	110
WIS	118
WIS	77
WIS	62
WIS	0
WIS	62
WIS	13
WIS	62
WIS	62
WIS	62
WIS	0
WIS	96
WIS	62
WIS	62
WIS	45
WIS	10
WIS	62
WIS	41
WIS	62
WIS	62
